libelle;libelle_complet;mot_directeur;voie_tenante;voie_aboutissante;commune;code_insee;sti;rivoli
DSC LA HALLE AUX POISSONS;Descente de la Halle aux Poissons;POISSONS;;;TOULOUSE;31555;315553408042;3105554096N
PL DE VINTIMILLE;Place de Vintimille;VINTIMILLE;;;TOULOUSE;31555;315557276803;3105558900K
PAS ALEXANDRE FALGUIERE;Passage Alexandre Falguière;FALGUIERE;;;BALMA;31044;310440000101;3100440449W
 A68;Autoroute A68;A68;;;ST-JEAN;31488;314880000011;3104880039V
RUE CAUBERE;Rue Caubere;CAUBERE;;;TOULOUSE;31555;315551523245;3105551780W
RUE DE L EST;Rue de l'Est;EST;;;TOULOUSE;31555;315552643221;3105553088T
RUE FRANCOIS LUCAS;Rue François Lucas;LUCAS;;;TOULOUSE;31555;315558437211;3105553523R
RUE HENRI TAGNERES;Rue Henri Tagnères;TAGNERES;;;TOULOUSE;31555;315556748830;3105554192T
RUE FURGOLE;Rue Furgole;FURGOLE;;;TOULOUSE;31555;315553011241;3105553632J
ALL DE LA TET;Allée de la Têt;TET;;;COLOMIERS;31149;311490000446;3101491260W
RUE DES PRIMEVERES;Rue des Primevères;PRIMEVERES;;;BRAX;31088;310880000061;3100880133L
AV DU GENERAL BARBOT;Avenue du Général Barbot;BARBOT;;;TOULOUSE;31555;315553145647;3105553808A
IMP ANDRE FERRAN;Impasse André Ferran;FERRAN;;;TOULOUSE;31555;315558436058;3105550306U
VA VA000070;Voie Anonyme Numéro 000070;;;;FENOUILLET;31182;31182A000070;
RUE DU CASSE;Rue du Casse;CASSE;;;CORNEBARRIEU;31150;311500000035;3101500025Z
RUE RAYMOND GRIMAUD;Rue Raymond Grimaud;GRIMAUD;;;BLAGNAC;31069;310690000204;3100690939V
RUE GEORGES ROUAULT;Rue Georges Rouault;ROUAULT;;;TOULOUSE;31555;315556044805;3105553862J
RUE ABEBE BIKILA;Rue Abebe Bikila;BIKILA;;;ST-JEAN;31488;314880000188;3104880004G
RUE DES ORMEAUX;Rue des Ormeaux;ORMEAUX;;;UNION;31561;315610000193;3105610515V
RUE DES PELICANS;Rue des Pélicans;PELICANS;;;TOULOUSE;31555;315558407726;3105556698S
RUE LOUIS RAMONDOU;Rue Louis Ramondou;RAMONDOU;;;CASTELGINEST;31116;311160000159;3101160915P
RUE EMILE BROUARDEL;Rue Emile Brouardel;BROUARDEL;;;TOULOUSE;31555;315551206451;3105551436X
VA VA007830;Voie Anonyme Numéro 007830;;;;TOULOUSE;31555;31555A007830;310555
RUE DE CHAMBORD;Rue de Chambord;CHAMBORD;;;TOURNEFEUILLE;31557;315570000104;3105571195B
RUE DU LANGUEDOC;Rue du Languedoc;LANGUEDOC;;;FENOUILLET;31182;311820000054;3101820240U
VA VA000104;Voie Anonyme Numéro 000104;;;;PIBRAC;31417;31417A000104;
ANC CHE DE BRAX;Ancien Chemin de Brax;BRAX;;;PIBRAC;31417;314170000041;3104170012Z
RUE DE MONTAIGU;Rue de Montaigu;MONTAIGU;;;TOURNEFEUILLE;31557;315570000304;3105572737C
PAS PASTEUR;Passage Pasteur;PASTEUR;;;BLAGNAC;31069;310690000310;3100690751R
RUE PIERRE NOUGARO;Rue Pierre Nougaro;NOUGARO;;;TOULOUSE;31555;315559000101;3105556911Y
PL INTERIEURE DE L EGLISE;Place Intérieure de l'Église;EGLISE;;;BLAGNAC;31069;310690000150;3100690295V
RPT DES CEDRES;Rond-point des Cèdres;CEDRES;;;CORNEBARRIEU;31150;311500000154;310150
RUE DU ONZE NOVEMBRE;Rue du Onze Novembre;NOVEMBRE;;;AUCAMVILLE;31022;310220000001;3100220245V
RUE FERRIERES;Rue Ferrières;FERRIERES;;;TOULOUSE;31555;315552768047;3105553280B
CHE DES PRES;Chemin des Prés;PRES;;;CORNEBARRIEU;31150;311500000106;3101500162Y
CHE DE CAUSIDOU;Chemin de Causidou;CAUSIDOU;;;MONS;31355;313550000072;310355
SQ DES NOISETIERS;Square des Noisetiers;NOISETIERS;;;PIBRAC;31417;314170000131;3104170309X
RUE DU NEOUVIELLE;Rue Du Néouvielle;NEOUVIELLE;;;FLOURENS;31184;311840000048;3101840225U
RUE DES EPIS;Rue des Épis;EPIS;;;TOURNEFEUILLE;31557;315570000166;3105571601T
RUE DE LA FRANQUI;Rue de la Franqui;FRANQUI;;;UNION;31561;315610000100;3105610237T
PL OCCITANE;Place Occitane;OCCITANE;;;TOULOUSE;31555;315558348542;3105556350N
RUE MARCEL LOUBENS;Rue Marcel Loubens;LOUBENS;;;TOULOUSE;31555;315558370620;3105555621W
RUE DE LANOUL;Rue de Lanoul;LANOUL;;;ST-ORENS-DE-GAMEVILLE;31506;315060000098;3105060750P
IMP JULES AMILHAU;Impasse Jules Amilhau;AMILHAU;;;TOULOUSE;31555;315550140915;3105554789S
ALL DU GERS;Allée du Gers;GERS;;;COLOMIERS;31149;311490000205;3101490700M
IMP DE LA SARDANE;Impasse de la Sardane;SARDANE;;;TOURNEFEUILLE;31557;315570000401;3105573305V
RUE JULES CHALANDE;Rue Jules Chalande;CHALANDE;;;TOULOUSE;31555;315551600018;3105554792V
IMP JEANNE MARIE MONTANE;Impasse Jeanne Marie Montane;MONTANE;;;TOULOUSE;31555;315558448260;3105554685D
RUE DES VIGNES;Rue des Vignes;VIGNES;;;BALMA;31044;310440000276;3100440926P
VA VA000002;Voie Anonyme Numéro 000002;;;;TOURNEFEUILLE;31557;31557A000002;
IMP DES TAMBOURETTES;Impasse des Tambourettes;TAMBOURETTES;;;PIBRAC;31417;314170000172;3104170433G
RUE DE VICDESSOS;Rue de Vicdessos;VICDESSOS;;;TOULOUSE;31555;315557219231;3105558808K
RUE DU LAVOIR;Rue Du Lavoir;LAVOIR;;;BRUGUIERES;31091;310910000038;3100910130V
RUE NALIS;Rue Nalis;NALIS;;;TOULOUSE;31555;315554867257;3105556180D
RUE DU PRINTEMPS;Rue du Printemps;PRINTEMPS;;;TOULOUSE;31555;315555606409;3105557140X
RUE DES PENSEES;Rue des Pensées;PENSEES;;;UNION;31561;315610000205;3105610535S
RUE ANDRE BOUBES;Rue André Boubes;BOUBES;;;CUGNAUX;31157;311570000036;3101570014G
RUE DES ECOLES;Rue des Écoles;ECOLES;;;BRAX;31088;310880000019;3100880050W
RUE ANDRE MELET;Rue André Melet;MELET;;;TOULOUSE;31555;315558422958;3105550309X
RUE DU LANGUEDOC;Rue Du Languedoc;LANGUEDOC;;;ST-JEAN;31488;314880000109;3104880380R
RUE DE LA FREGATE;Rue de la Frégate;FREGATE;;;UNION;31561;315610000101;3105610238U
VA VA000085;Voie Anonyme Numéro 000085;;;;TOURNEFEUILLE;31557;31557A000085;
RUE SIMONE HENRY;Rue Simone Henry;HENRY;;;TOULOUSE;31555;315559000188;3105558257L
RUE LOUIS PARANT;Rue Louis Parant;PARANT;;;TOULOUSE;31555;315555171247;3105555392X
IMP MENESQUIL;Impasse Menesquil;MENESQUIL;;;PIBRAC;31417;314170000118;3104170270E
LOT CONCORDE;Lotissement Concorde;CONCORDE;;;AUSSONNE;31032;310320000028;310032A028K
IMP DES GRAVES;Impasse des Graves;GRAVES;;;TOURNEFEUILLE;31557;315570000210;3105571910D
CHE DE GASTEFER;Chemin  de Gastefer;GASTEFER;;;CORNEBARRIEU;31150;311500000065;3101500063R
RUE DE CAULET;Rue de Caulet;CAULET;;;TOULOUSE;31555;315558410450;3105551782Y
RUE DE MONT LOUIS;Rue de Mont Louis;LOUIS;;;TOULOUSE;31555;315558383730;3105556035W
AV DES ARENES ROMAINES;Avenue des Arènes Romaines;ROMAINES;;;TOULOUSE;31555;315550249601;3105550448Y
AV LOUIS BREGUET;Avenue Louis Breguet;BREGUET;;;TOULOUSE;31555;315551171202;3105555364S
PL NELSON MANDELA;Place Nelson Mandela;MANDELA;;;CUGNAUX;31157;311570000284;3101570508U
RPT CHARLES FABRE;Rond-point Charles Fabre;FABRE;;;TOULOUSE;31555;315558430059;3105551927F
RUE HIPPOLYTE PREVOST;Rue Hippolyte Prévost;PREVOST;;;TOULOUSE;31555;315555600818;3105554232L
IMP LABOUILHE;Impasse Labouilhe;LABOUILHE;;;ST-ORENS-DE-GAMEVILLE;31506;315060000093;3105060391Z
IMP FERRAT;Impasse Ferrat;FERRAT;;;AUSSONNE;31032;310320000042;3100320063D
BD DE GENEVE;Boulevard de Genève;GENEVE;;;TOULOUSE;31555;315553168021;3105553828X
RUE DE LUCHON;Rue de Luchon;LUCHON;;;TOULOUSE;31555;315554227201;3105555444D
RUE DES COQUELICOTS;Rue des Coquelicots;COQUELICOTS;;;UNION;31561;315610000081;3105610190S
IMP DES CARENES;Impasse des Carènes;CARENES;;;BALMA;31044;310440000061;3100440202C
IMP GUYNEMER;Impasse Guynemer;GUYNEMER;;;FONBEAUZARD;31186;311860000028;3101860066M
CHE DES COLLINES;Chemin des Collines;COLLINES;;;CASTELGINEST;31116;311160000050;3101160300W
IMP JEANNE BENOZZI;Impasse Jeanne Benozzi;BENOZZI;;;TOULOUSE;31555;315558441251;3105554678W
IMP DU CEZEROU;Impasse du Cézérou;CEZEROU;;;CUGNAUX;31157;311570000062;3101570148C
AV DU GENERAL COMPANS;Avenue du Général Compans;COMPANS;;;BLAGNAC;31069;310690000111;3100690420F
PAS DU PRIGOUNT;Passage du Prigount;PRIGOUNT;;;BRUGUIERES;31091;310910000131;3100910274B
CHE DES IZARDS;Chemin des Izards;IZARDS;;;LAUNAGUET;31282;312820000129;3102820150L
RUE DE TIGNES;Rue de Tignes;TIGNES;;;TOULOUSE;31555;315550000102;3105558482F
IMP DES QUATRE CHEMINS;Impasse des Quatre Chemins;CHEMINS;;;AUSSONNE;31032;310320000131;3100320157F
AV DES MAZADES;Avenue des Mazades;MAZADES;;;TOULOUSE;31555;315554540832;3105555848T
IMP GILLES THAU;Impasse Gilles Thau;THAU;;;TOULOUSE;31555;315558454606;3105553895V
PL LANGE;Place Lange;LANGE;;;TOULOUSE;31555;315553840031;3105554996S
RUE DE L ISERE;Rue de l'Isère;ISERE;;;TOULOUSE;31555;315553548855;3105554356W
RUE ANDRE MAZANA;Rue André Mazana;MAZANA;;;TOULOUSE;31555;315558416857;3105550317F
RUE ERNEST MERIMEE;Rue Ernest Mérimée;MERIMEE;;;TOULOUSE;31555;315554585651;3105553040R
VA VA000114;Voie Anonyme Numéro 000114;;;;PIBRAC;31417;31417A000114;
ALL DE PORQUEROLLES;Allée de Porquerolles;PORQUEROLLES;;;COLOMIERS;31149;311490000366;3101491036C
PL DE LA MAIRIE;Place de la Mairie;MAIRIE;;;CUGNAUX;31157;311570000142;3101570452H
IMP DE MAOU;Impasse de Maou;MAOU;;;TOURNEFEUILLE;31557;315570000274;3105572511G
CHE DE GARRABOT;Chemin de Garrabot;GARRABOT;;;COLOMIERS;31149;311490000197;3101490665Z
RUE GERMAIN PILON;Rue Germain Pilon;PILON;;;TOULOUSE;31555;315555404810;3105553872V
RUE DU BOIS FLEURI;Rue du Bois Fleuri;FLEURI;;;TOULOUSE;31555;315550972837;3105551236E
IMP DES ETATS UNIS;Impasse des Etats Unis;UNIS;;;TOULOUSE;31555;315552662432;3105553108P
RUE SAINTE ANNE;Rue Sainte Anne;ANNE;;;TOULOUSE;31555;315556124812;3105558004L
CHE DU LOUDET;Chemin du Loudet;LOUDET;;;COLOMIERS;31149;311490000258;3101490768L
PL DE L EGLISE;Place de l'Eglise;EGLISE;;;MONDOUZIL;31352;313520000028;3103520095X
RUE DE LA GARE;Rue de la Gare;GARE;;;PIBRAC;31417;314170000090;3104170143S
PL DU PARC DE RIBAUTE;Place du Parc de Ribaute;RIBAUTE;;;QUINT;31445;314450000104;3104450364K
AV DE PARIS;Avenue de Paris;PARIS;;;BLAGNAC;31069;310690000455;3100690748M
IMP DU BARON;Impasse du Baron;BARON;;;TOULOUSE;31555;315550560049;3105550860W
RUE HELENE BOUCHER;Rue Hélène Boucher;BOUCHER;;;CUGNAUX;31157;311570000037;3101570373X
RPT REVE DE L ENFANT;Rond-point Rêve de l'Enfant;ENFANT;;;COLOMIERS;31149;311490000518;310149
RUE JEAN GIBERT;Rue Jean Gibert;GIBERT;;;TOULOUSE;31555;315558416653;3105554590A
PL DU CANTAL;Place du Cantal;CANTAL;;;COLOMIERS;31149;311490000094;3101490292U
IMP DE L AQUILON;Impasse De L'aquilon;AQUILON;;;MONTRABE;31389;313890000054;3103890020E
RUE DES CHENES;Rue des Chênes;CHENES;;;VILLENEUVE-TOLOSANE;31588;315880000044;3105880230T
IMP DES CHARMES;Impasse des Charmes;CHARMES;;;TOULOUSE;31555;315558402227;3105551963V
RPT DU CAPITAINE ALFRED DREYFUS;Rond-point du Capitaine Alfred Dreyfus;DREYFUS;;;TOULOUSE;31555;315559000133;3105550171X
CHE DE L ENSEIGURE;Chemin de l'Enseigure;ENSEIGURE;;;BEAUZELLE;31056;310560000034;3100560035U
RUE CAYROU;Rue Cayrou;CAYROU;;;TOULOUSE;31555;315551548802;3105551808B
PL DU PARLEMENT;Place du Parlement;PARLEMENT;;;TOULOUSE;31555;315555193631;3105556544Z
RUE DE BELBEZE;Rue de Belbèze;BELBEZE;;;TOURNEFEUILLE;31557;315570000045;3105570830E
RUE CORNEILLE;Rue Corneille;CORNEILLE;;;TOURNEFEUILLE;31557;315570000134;3105571410K
AV HENRI GUILLAUMET;Avenue Henri Guillaumet;GUILLAUMET;;;CORNEBARRIEU;31150;311500000162;3101500073B
RUE DE ROME;Rue de Rome;ROME;;;BALMA;31044;310440000238;3100440768T
CHE DU CANAL;Chemin du Canal;CANAL;;;TOURNEFEUILLE;31557;315570000083;3105571060E
RUE SAINT-SUPERY;Rue Saint-Supéry;EXUPERY;;;CASTELGINEST;31116;311160000168;3101160990W
PAS ANDRE CESALPIN;Passage André Césalpin;CESALPIN;;;BALMA;31044;310440000321;3100440026L
RUE JEAN DE BOYSSONNE;Rue Jean de Boyssonne;BOYSSONNE;;;TOULOUSE;31555;315551144033;3105551394B
CHE DES DEUX PROVINCES;Chemin des Deux Provinces;PROVINCES;;;MONDONVILLE;31351;313510000068;3103510014N
RUE DE REMUSAT;Rue de Rémusat;REMUSAT;;;TOULOUSE;31555;315555830453;3105557392W
PL DE L ORMEAU;Place de l'Ormeau;ORMEAU;;;TOULOUSE;31555;315555072029;3105556420P
RUE GEORGES LEHMAN;Rue Georges Lehman;LEHMAN;;;BALMA;31044;310440000150;3100440380W
RUE DE L AEROSTATION;Rue de l'Aérostation;AEROSTATION;;;TOULOUSE;31555;315550044829;3105550068K
VA VA000003;Voie Anonyme Numéro 000003;;;;TOURNEFEUILLE;31557;31557A000003;
RUE FRIDA KAHLO;Rue Frida Kahlo;KAHLO;;;TOULOUSE;31555;315559000230;3105553605E
IMP DES OEILLETS;Impasse des Œillets;OEILLETS;;;VILLENEUVE-TOLOSANE;31588;315880000126;3105880918R
VA VA000019;Voie Anonyme Numéro 000019;;;;VILLENEUVE-TOLOSANE;31588;31588A000019;
IMP DE RATALENS;Impasse De Ratalens;RATALENS;;;ST-JEAN;31488;314880000048;3104880638W
RUE PABLO NERUDA;Rue Pablo Neruda;NERUDA;;;ST-ORENS-DE-GAMEVILLE;31506;315060000133;3105060930K
RUE DUFAUR DE PIBRAC;Rue Dufaur de Pibrac;PIBRAC;;;TOULOUSE;31555;315552425645;3105552792W
RUE DU MOULIN;Rue Du Moulin;MOULIN;;;LESPINASSE;31293;312930000085;3102930137Z
ALL DES PASSERINES;Allée des Passerines;PASSERINES;;;ST-ORENS-DE-GAMEVILLE;31506;315060000146;3105060980P
BD JEAN AUGUSTE INGRES;Boulevard Jean-Auguste Ingres;INGRES;;;COLOMIERS;31149;311490000227;3101491409H
IMP DES CYPRES;Impasse des Cyprés;CYPRES;;;AUCAMVILLE;31022;310220000054;3100220108W
RTE DE CLAIRAC;Route de Clairac;CLAIRAC;;;MONS;31355;313550000077;310355
RUE FABRE D EGLANTINE;Rue Fabre d'Eglantine;EGLANTINE;;;LAUNAGUET;31282;312820000131;310282
RUE DE LA GLACIERE;Rue de la Glacière;GLACIERE;;;TOULOUSE;31555;315558411603;3105553923A
RUE DE LA DIGUE;Rue de la Digue;DIGUE;;;TOURNEFEUILLE;31557;315570000153;3105571520E
RUE DE LA TREILLE;Rue de la Treille;TREILLE;;;CASTELGINEST;31116;311160000186;3101161110B
RUE DU PIC CARLIT;Rue du Pic Carlit;CARLIT;;;TOULOUSE;31555;315558387260;3105556845B
RUE GEORGES CANDILIS;Rue Georges Candilis;CANDILIS;;;TOULOUSE;31555;315559000123;3105553854A
IMP DU CLOS DE JADE;Impasse du Clos de Jade;JADE;;;TOULOUSE;31555;315558396024;3105552173Y
RUE JEAN DE LA FONTAINE;Rue Jean de la Fontaine;FONTAINE;;;CASTELGINEST;31116;311160000079;3101160536C
IMP DU GEN ALBERT D AMADE;Impasse du Général Albert d'Amade;AMADE;;;TOULOUSE;31555;315558424101;3105553803V
RUE DES CASERNES;Rue des Casernes;CASERNES;;;TOULOUSE;31555;315551481660;3105551740C
ALL DU MONT VALLIER;Allée du Mont Vallier;VALLIER;;;COLOMIERS;31149;311490000460;3101490840P
 D4;D4;D4;;;BRUGUIERES;31091;310910000014;310091
ALL VICTOR HUGO;Allée Victor Hugo;HUGO;;;ST-JEAN;31488;314880000074;3104880750T
RUE LOUIS FOURE LABROT;Rue Louis Foure Labrot;LABROT;;;TOULOUSE;31555;315558396330;3105555378G
VA VA000050;Voie Anonyme Numéro 000050;;;;SEILH;31541;31541A000050;
RUE FRANCIS DE RIOLS FRANCLARE;Rue Françis de Riols Franclare;FRANCLARE;;;TOURNEFEUILLE;31557;315570000182;3105571700A
RUE MONTOR;Rue Montor;MONTOR;;;TOULOUSE;31555;315554764815;3105556068G
IMP DES ORCHIDEES;Impasse des Orchidées;ORCHIDEES;;;BLAGNAC;31069;310690000295;3100690732V
RUE BORIS VIAN;Rue Boris Vian;VIAN;;;BALMA;31044;310440000274;3100440160G
PL EMILE MALE;Place Emile Male;MALE;;;TOULOUSE;31555;315554304035;3105552988J
RUE DES CHAMOIS;Rue des Chamois;CHAMOIS;;;TOULOUSE;31555;315551612832;3105551858F
IMP DES NAUTILES;Impasse des Nautiles;NAUTILES;;;ST-ORENS-DE-GAMEVILLE;31506;315060000129;3105060895X
ALL DES MYOSOTIS;Allée des Myosotis;MYOSOTIS;;;GAGNAC-SUR-GARONNE;31205;312050000038;3102050127W
PL DU ONZE NOVEMBRE 1918;Place du Onze Novembre 1918;NOVEMBRE;;;PIBRAC;31417;314170000002;3104170320J
RUE DU COLLEGE;Rue Du Collège;COLLEGE;;;FLOURENS;31184;311840000057;3101840070A
RUE DE L EGLISE;Rue de l'Église;EGLISE;;;BRAX;31088;310880000020;3100880089N
RUE JEAN FRANCOIS LESUEUR;Rue Jean-François Lesueur;LESUEUR;;;BALMA;31044;310440000151;3100440447U
CHE DE COTE GOUBARD;Chemin de Côte Goubard;GOUBARD;;;VILLENEUVE-TOLOSANE;31588;315880000082;3105880462V
IMP DES CHAUMIERES;Impasse des Chaumières;CHAUMIERES;;;AUCAMVILLE;31022;310220000046;3100220101N
RUE DE LA FAISANDERIE;Rue de la Faisanderie;FAISANDERIE;;;TOULOUSE;31555;315552700854;3105553188B
IMP PIERRE WALLAERT;Impasse Pierre Wallaert;WALLAERT;;;TOULOUSE;31555;315558412817;3105556923L
IMP LOUIS DE FROIDOUR;Impasse Louis De Froidour;FROIDOUR;;;TOULOUSE;31555;315558416041;3105555379H
IMP SAINT REMESY;Impasse Saint Remesy;REMESY;;;PIN-BALMA;31418;314180000033;3104180318C
RUE SULLY PRUDHOMME;Rue Sully Prudhomme;PRUDHOMME;;;BALMA;31044;310440000224;3100440850G
CHE DE LAFAGE;Chemin De Lafage;LAFAGE;;;DREMIL-LAFAGE;31163;311630000020;3101630182N
RUE DE TIVOLI;Rue de Tivoli;TIVOLI;;;TOULOUSE;31555;315556873656;3105558492S
CHE RURAL DE LA BOURDETTE;Chemin Rural de la Bourdette;BOURDETTE;;;ST-ORENS-DE-GAMEVILLE;31506;315060000028;3105060460Z
AV MARCEL LANGER;Avenue Marcel Langer;LANGER;;;TOULOUSE;31555;315553843204;3105555616R
RUE GENTY MAGRE;Rue Genty Magre;MAGRE;;;TOULOUSE;31555;315553174428;3105553836F
IMP GRUNEY;Impasse Gruney;GRUNEY;;;TOULOUSE;31555;315558364213;3105554035X
RUE PLANQUETTE;Rue Planquette;PLANQUETTE;;;TOULOUSE;31555;315555440049;3105556956X
ALL DES BAUGES;Allée des Bauges;BAUGES;;;COLOMIERS;31149;311490000054;3101490155V
RUE BERTHY ALBRECHT;Rue Berthy Albrecht;ALBRECHT;;;TOULOUSE;31555;315558442159;3105551106N
IMP DE LA BASTILLE;Impasse de la Bastille;BASTILLE;;;TOURNEFEUILLE;31557;315570000037;3105570795S
RUE JULES VALLES;Rue Jules Valles;VALLES;;;CUGNAUX;31157;311570000232;3101570377B
PAS SAINT JORY;Passage Saint-Jory;JORY;;;QUINT;31445;314450000052;3104450378A
RUE DU LIMOUSIN;Rue du Limousin;LIMOUSIN;;;TOURNEFEUILLE;31557;315570000261;3105572422K
RUE DU CHAI;Rue du Chai;CHAI;;;PIBRAC;31417;314170000197;3104170082A
RUE DES SOURCES;Rue des Sources;SOURCES;;;CASTELGINEST;31116;311160000176;3101161020D
ESP FRANCOIS MITTERRAND;Esplanade Francois Mitterrand;MITTERRAND;;;TOULOUSE;31555;315559000034;3105553531Z
IMP GEORGES POMPIDOU;Impasse Georges Pompidou;POMPIDOU;;;ST-ALBAN;31467;314670000106;3104670167A
RUE DES MONTS DU VELAY;Rue des Monts du Velay;VELAY;;;UNION;31561;315610000286;3105610455E
ALL DU CROISIC;Allée du Croisic;CROISIC;;;COLOMIERS;31149;311490000140;3101490433X
AV LEON BOURRIEAU;Avenue Léon Bourrieau;BOURRIEAU;;;SEILH;31541;315410000012;3105410079H
RUE LAZARE CARNOT;Rue Lazare Carnot;CARNOT;;;LAUNAGUET;31282;312820000024;3102820164B
ALL DE LIMOGNE;Allée de Limogne;LIMOGNE;;;COLOMIERS;31149;311490000544;310149
RUE ANTOINE VAN DYCK;Rue Antoine Van Dyck;DYCK;;;TOULOUSE;31555;315557088059;3105558708B
AV DE LA ROUQUETTE;Av de la Rouquette;ROUQUETTE;;;FLOURENS;31184;311840000077;3101840290P
RUE MILHES;Rue Milhes;MILHES;;;TOULOUSE;31555;315554643213;3105555948B
CHE DE FONDEYRE;Chemin de Fondeyre;FONDEYRE;;;TOULOUSE;31555;315558384536;3105553369Y
RUE DE LA REPUBLIQUE;Rue de la République;REPUBLIQUE;;;TOULOUSE;31555;315555846430;3105557428K
IMP DES PALOMBES;Impasse des Palombes;PALOMBES;;;TOULOUSE;31555;315559000060;3105556487M
RUE DES CAILLES;Rue des Cailles;CAILLES;;;BEAUZELLE;31056;310560000015;3100560019B
RUE DE VERDUN;Rue de Verdun;VERDUN;;;TOULOUSE;31555;315557187216;3105558788N
VA VA000142;Voie Anonyme Numéro 000142;;;;TOURNEFEUILLE;31557;31557A000142;
RUE DE BIGORRE;Rue de Bigorre;BIGORRE;;;BALMA;31044;310440000041;3100440140K
RUE CONDEAU;Rue Condeau;CONDEAU;;;TOULOUSE;31555;315551916822;3105552260T
RUE GEORGES BRASSENS;Rue Georges Brassens;BRASSENS;;;QUINT;31445;314450000017;3104450142U
RUE DU SOMPORT;Rue du Somport;SOMPORT;;;TOURNEFEUILLE;31557;315570000413;3105573374V
RUE DU SOLEIL LEVANT;Rue du Soleil Levant;LEVANT;;;TOULOUSE;31555;315556643205;3105558268Y
CHE DE LAFILAIRE;Chemin de Lafilaire;LAFILAIRE;;;TOULOUSE;31555;315553782408;3105554932X
RPT MICHEL BENECH;Rond-point Michel Benech;BENECH;;;TOULOUSE;31555;315558385546;3105555921X
IMP DES ROSIERS;Impasse des Rosiers;ROSIERS;;;QUINT;31445;314450000136;310445
RUE GUILLAUME CATEL;Rue Guillaume Catel;CATEL;;;TOULOUSE;31555;315551520011;3105554044G
IMP DE LAS CEGOS;Impasse de Las Cegos;CEGOS;;;TOULOUSE;31555;315558363917;3105551817L
RUE GAZAN;Rue Gazan;GAZAN;;;TOULOUSE;31555;315553139240;3105553800S
RUE RAYMOND CORRAZE;Rue Raymond Corraze;CORRAZE;;;TOULOUSE;31555;315558340931;3105557306C
IMP DE CANDIE;Impasse de Candie;CANDIE;;;TOULOUSE;31555;315558414531;3105551625C
IMP DE SEBASTOPOL;Impasse de Sébastopol;SEBASTOPOL;;;TOULOUSE;31555;315556556801;3105558200Z
GIRATOIRE DE LA GARE;Giratoire de la gare;GARE;;;COLOMIERS;31149;311490000588;3101490639W
CHE DE SALIERES;Chemin de Salières;SALIERES;;;TOULOUSE;31555;315556451237;3105558104V
IMP DU MUSCAT;Impasse du Muscat;MUSCAT;;;CASTELGINEST;31116;311160000130;3101160720C
RUE DES JASIONES;Rue des Josiones;JASIONES;;;QUINT;31445;314450000053;3104450162R
RUE DU FOURBASTARD;Rue du Fourbastard;FOURBASTARD;;;TOULOUSE;31555;315552915257;3105553416Z
ALL DU SOMPORT;Allée du Somport;SOMPORT;;;COLOMIERS;31149;311490000434;3101491213V
RUE DE LA GINESTIERE;Rue de la Ginestière;GINESTIERE;;;QUINT;31445;314450000044;3104450140S
 D50D;Route D50d;D50D;;;FLOURENS;31184;311840000041;310184
CHE DU PRAT;Chemin du Prat;PRAT;;;TOURNEFEUILLE;31557;315570000371;3105573120U
IMP SAINT JAMES;Impasse Saint James;JAMES;;;TOULOUSE;31555;315556120017;3105557850U
IMP RAYNAL;Impasse Raynal;RAYNAL;;;TOULOUSE;31555;315558388923;3105557325Y
RUE MONTOULIEU ST JACQUES;Rue Montoulieu Saint Jacques;JACQUES;;;TOULOUSE;31555;315554771212;3105556076R
PAS JEAN CLAUDE GODFRAIN;Passage Jean Claude Godfrain;GODFRAIN;;;TOULOUSE;31555;315558432324;3105554461K
RTE DE FONBEAUZARD;Route de Fonbeauzard;FONBEAUZARD;;;CASTELGINEST;31116;311160000078;3101160430M
RUE HILAIRE CHARDONNET;Rue Hilaire Chardonnet;CHARDONNET;;;TOULOUSE;31555;315558339921;3105554226E
CHE DU FACTEUR;Chemin du Facteur;FACTEUR;;;GAGNAC-SUR-GARONNE;31205;312050000022;3102050065D
IMP DOMINIQUE BOYER;Impasse Dominique Boyer;BOYER;;;TOULOUSE;31555;315551142421;3105552734H
RUE DES TULIPES;Rue des Tulipes;TULIPES;;;FONBEAUZARD;31186;311860000056;3101860156K
AV DE TOULOUSE;Avenue de Toulouse;TOULOUSE;;;PIBRAC;31417;314170000176;3104170445V
RUE DES ACACIAS;Rue Des Acacias;ACACIAS;;;DREMIL-LAFAGE;31163;311630000051;3101630004V
IMP DE L EUROPE;Impasse De L'europe;EUROPE;;;MONTRABE;31389;313890000052;3103890099R
IMP DES ANGES;Impasse des Anges;ANGES;;;TOULOUSE;31555;315550172828;3105550340F
RUE GEORGES PICOT;Rue Georges Picot;PICOT;;;TOULOUSE;31555;315555392057;3105553860G
RUE SAINT EXUPERE;Rue Saint-Exupére;EXUPERE;;;BLAGNAC;31069;310690000373;3100690950G
PAS JULES FERRY;Passage Jules Ferry;FERRY;;;FENOUILLET;31182;311820000036;310182
IMP DU FERETRA;Impasse du Férétra;FERETRA;;;TOULOUSE;31555;315558350052;3105553255Z
RUE DU COLLEGE;Rue du Collège;COLLEGE;;;ST-ORENS-DE-GAMEVILLE;31506;315060000049;3105060586L
RUE DE LALANDE;Rue de Lalande;LALANDE;;;TOULOUSE;31555;315558396534;3105555033G
RUE VINCENT SCOTTO;Rue Vincent Scotto;SCOTTO;;;TOULOUSE;31555;315558408124;3105558902M
